id_cuve_journaliere,id_cuve_principale,capacite
BEPANDA INTERNATIONAL,BEPANDA INTERNATIONAL,1000
BEPANDA NATIONAL 1,BEPANDA NATIONAL,1000
BEPANDA NATIONAL 2,BEPANDA NATIONAL,1000
CT AKWA CENTRE,CT AKWA CENTRE,588
CT BONABERI 1,CT BONABERI,1000
CT BONABERI 2,CT BONABERI,950
CT BASSA,CT BASSA,1000
CT AKWA NORD,CT AKWA NORD,1000
POP BONANJO,POP BONANJO,240
LOGBESSOU CRTV,LOGBESSOU CRTV,0
BEPANDA PETIT MARCHE,BEPANDA PETIT MARCHE,0
PK 21,PK 21,0
LAQUINTINI,LAQUINTINI,0
LYCEE PALMIER,LYCEE PALMIER,0
CAMP DES OFFICIERS,CAMP DES OFFICIERS,0
MALANGUE,MALANGUE,0
YASSA VILLAGE,YASSA VILLAGE,0
NEWBEL MAGASIN,NEWBEL MAGASIN,0
NDOCKPASSI,NDOCKPASSI,0
BONALOKA,BONALOKA,0
LOGPOM SODICOMBO,LOGPOM SODICOMBO,0
BONAMOUSSADI VILLAGE,BONAMOUSSADI VILLAGE,0
JAPOMA STADE,JAPOMA STADE,0
E.P. NEWBELL BAMILEKE,E.P. NEWBELL BAMILEKE,0
NDOGBONG SCAMTROPIC,NDOGBONG SCAMTROPIC,0
MABANDA,MABANDA,0
NDOKOTI POSTE,NDOKOTI POSTE,0
BEPANDA LYCEE,BEPANDA LYCEE,0
BONENDALE,BONENDALE,0
AC AKWA NORD,AC AKWA NORD,0
DATA CENTER 1,DATA CENTER,0
DATA CENTER 2,DATA CENTER,0
BTS MBOPI GENDARMERIE,BTS MBOPI GENDARMERIE,0
