id_cuve_journaliere,id_groupe
BEPANDA INTERNATIONAL,G1-SDMO-830
BEPANDA NATIONAL 1,G2-SDMO-650
BEPANDA NATIONAL 2,G3-DEUTZ-450
CT AKWA CENTRE,G4-AKSA-493
CT BONABERI 1,G5-LEROY SOMMER-110
CT BONABERI 2,G6-DEUTZ-185
CT BASSA,G7-AKSA-220
CT AKWA NORD,G8-DEUTZ-350
POP BONANJO,G9-AKSA-110
LOGBESSOU CRTV,G10-SDMO-33
BEPANDA PETIT MARCHE,G11-LIONROCK-18
PK 21,G12-LIONROCK-18
LAQUINTINI,G13-LIONROCK-18
LYCEE PALMIER,G14-HUAWEI-23
CAMP DES OFFICIERS,G15-LIONROCK-18
MALANGUE,G16-HUAWEI-23
YASSA VILLAGE,G17-LIONROCK-18
NEWBEL MAGASIN,G18-ONIS VISA-22
NDOCKPASSI,G19-SDMO-22
BONALOKA,G20-LIONROCK-18
LOGPOM SODICOMBO,G21-LIONROCK-18
BONAMOUSSADI VILLAGE,G22-LIONROCK-18
JAPOMA STADE,G23-PERKINS-60
E.P. NEWBELL BAMILEKE,G24-HUAWEI-23
NDOGBONG SCAMTROPIC,G25-LISTER PETTER-12.5
MABANDA,G26-LISTER PETTER-12.5
NDOKOTI POSTE,G27-no name-22
BEPANDA LYCEE,G28-HUAWEI-23
BONENDALE,G29-LIONROCK-18
AC AKWA NORD,G30-LIONROCK-27
DATA CENTER 1,G31-CUMMINS-500
DATA CENTER 2,G32-CUMMINS-500
BTS MBOPI GENDARMERIE,G33-KHOLERR-0
