id_cuve_principale,capcite
BEPANDA INTERNATIONAL,40000
BEPANDA NATIONAL,5000
CT AKWA CENTRE,5000
CT BONABERI,5000
CT BASSA,5000
CT AKWA NORD,5000
POP BONANJO,1000
LOGBESSOU CRTV,1000
BEPANDA PETIT MARCHE,1000
PK 21,1000
LAQUINTINI,1000
LYCEE PALMIER,800
CAMP DES OFFICIERS,1000
MALANGUE,1000
YASSA VILLAGE,1000
NEWBEL MAGASIN,1000
NDOCKPASSI 2,1000
BONALOKA,1000
LOGPOM SODICOMBO,1000
BONAMOUSSADI VILLAGE,1000
JAPOMA STADE,3000
E.P. NEWBELL BAMILEKE,800
NDOGBONG SCAMTROPIC,400
MABANDA,400
NDOKOTI POSTE,1000
BEPANDA LYCEE,800
BONENDALE,1000
AC AKWA NORD,300
DATA CENTER,5000
BTS MBOPI GENDARMERIE,0
