date_debut,date_fin,id_cuve_principale,id_cuve_journaliere,id_groupe,quantités_cuve_principale,quantite_cuve_journaliere,depotage,compteur_horaire,état_fonctionnement,observations
2026-07-27,2026-07-31,CP001,CJ001,G1-SDMO-830,0.0,0.0,0.0,0.0,,RAS
2026-07-27,2026-07-31,CP002,CJ002,G2-SDMO-650,0.0,0.0,0.0,0.0,,RAS
2026-07-27,2026-07-31,CP002,CJ003,G3-DEUTZ-450,0.0,0.0,0.0,0.0,,RAS
2026-07-27,2026-07-31,CP003,CJ004,G4-AKSA-493,0.0,0.0,0.0,0.0,,Jauge de la cuve en état de dégradation avancée .
2026-07-27,2026-07-31,CP004,CJ005,G5-LEROY SOMMER-110,0.0,0.0,0.0,0.0,,Défaut d’inclinaison de la cuve Principale résolut.
2026-07-27,2026-07-31,CP004,CJ006,G6-DEUTZ-185,0.0,0.0,0.0,0.0,,Défaut d’inclinaison de la cuve Principale résolut.
2026-07-27,2026-07-31,CP005,CJ007,G7-AKSA-220,0.0,0.0,0.0,0.0,,RAS
2026-07-27,2026-07-31,CP006,CJ008,G8-DEUTZ-350,0.0,0.0,0.0,0.0,,RAS
2026-07-27,2026-07-31,CP007,CJ009,G9-AKSA-110,0.0,0.0,0.0,0.0,,RAS
2026-07-27,2026-07-31,CP008,CJ010,G10-SDMO-33,0.0,0.0,0.0,0.0,,RAS
2026-07-27,2026-07-31,CP009,CJ011,G11-LIONROCK-18,0.0,0.0,0.0,0.0,,; Jauge sale ; Pupitre de lecture floue
2026-07-27,2026-07-31,CP010,CJ012,G12-LIONROCK-18,0.0,0.0,0.0,0.0,,EN ARRET
2026-07-27,2026-07-31,CP011,CJ013,G13-LIONROCK-18,0.0,0.0,0.0,0.0,,RAS
2026-07-27,2026-07-31,CP012,CJ014,G14-HUAWEI-23,0.0,0.0,0.0,0.0,,RAS
2026-07-27,2026-07-31,CP013,CJ015,G15-LIONROCK-18,0.0,0.0,0.0,0.0,,Batterie HS ; Pas de chargeur batterie ;
2026-07-27,2026-07-31,CP014,CJ016,G16-HUAWEI-23,0.0,0.0,0.0,0.0,,GES en défaut (en arrêt pour le moment
2026-07-27,2026-07-31,CP015,CJ017,G17-LIONROCK-18,0.0,0.0,0.0,0.0,,RAS
2026-07-27,2026-07-31,CP016,CJ018,G18-ONIS VISA-22,0.0,0.0,0.0,0.0,,RAS
2026-07-27,2026-07-31,CP017,CJ019,G19-SDMO-22,0.0,0.0,0.0,0.0,,Compteur horaire Illisible sur le contrôleur du GES
2026-07-27,2026-07-31,CP018,CJ020,G20-LIONROCK-18,0.0,0.0,0.0,0.0,,"PAS D’INVERSSEUR de Sources, GES A L’ARRET"
2026-07-27,2026-07-31,CP019,CJ021,G21-LIONROCK-18,0.0,0.0,0.0,0.0,,RAS
2026-07-27,2026-07-31,CP020,CJ022,G22-LIONROCK-18,0.0,0.0,0.0,0.0,,RAS
2026-07-27,2026-07-31,CP021,CJ023,G23-PERKINS-60,0.0,0.0,0.0,0.0,,RAS
2026-07-27,2026-07-31,CP022,CJ024,G24-HUAWEI-23,0.0,0.0,0.0,0.0,,GES En arrêt défaut de l’électrovanne d’arrêt
2026-07-27,2026-07-31,CP023,CJ025,G25-LISTER PETTER-12.5,0.0,0.0,0.0,0.0,,GE lister Peter Vétuste en arrêt
2026-07-27,2026-07-31,CP024,CJ026,G26-LISTER PETTER-12.5,0.0,0.0,0.0,0.0,,GE lister Peter Vétuste en arrêt
2026-07-27,2026-07-31,CP026,CJ028,G28-HUAWEI-23,0.0,0.0,0.0,0.0,,RAS
2026-07-27,2026-07-31,CP027,CJ029,G29-LIONROCK-18,0.0,0.0,0.0,0.0,,RAS
2026-07-27,2026-07-31,CP028,CJ030,G30-LIONROCK-27,0.0,0.0,0.0,0.0,,RAS
2026-07-27,2026-07-31,CP030,CJ031,G31-CUMMINS-500,0.0,0.0,0.0,0.0,,Ravitaillement de 2000 Litres de carburant de la livraison de 25 OOO Litres de carburant dans l’exécution du mandat de travail N° 16.113/DRLF/SSPBF/SLF/SAMRF/DSBUF-SEE/CEED du 29/07/2026
2026-07-27,2026-07-31,CP030,CJ032,G32-CUMMINS-500,0.0,0.0,0.0,0.0,,GES Hors service (défaut carte de contrôle)
2026-07-27,2026-07-31,CP029,CJ033,G33-KHOLERR-0,0.0,0.0,0.0,0.0,,RAS
