id_cuve_journaliere,id_cuve_principale,id_groupe,capacite
cj001,cp001,g1-sdmo-830,1000
cj002,cp002,g2-sdmo-650,1000
cj003,cp003,g4-aksa-493,588
cj004,cp004,g5-leroysommer-110,950
cj005,cp005,g7-aksa-220,1000
cj006,cp006,g8-deutz-350,1000
cj007,cp007,g9-aksa-110,240
cj008,cp008,g10-sdmo-33,0
cj009,cp009,g11-lionrock-18,0
cj010,cp010,g12-lionrock-18,0
cj011,cp011,g13-lionrock-18,0
cj012,cp012,g14-huawei-23,0
cj013,cp013,g15-lionrock-18,0
cj014,cp014,g16-huawei-23,0
cj015,cp015,g17-lionrock-18,0
cj016,cp016,g18-onisvisa-22,0
cj017,cp017,g19-sdmo-22,0
cj018,cp018,g20-lionrock-18,0
cj019,cp019,g21-lionrock-18,0
cj020,cp020,g22-lionrock-18,0
cj021,cp021,g23-perkins-60,0
cj022,cp022,g24-huawei-23,0
cj023,cp023,g25-listerpetter-12.5,0
cj024,cp024,g26-listerpetter-12.5,0
cj025,cp025,g27-noname-22,0
cj026,cp026,g28-huawei-23,0
cj027,cp027,g29-lionrock-18,0
cj028,cp028,g30-lionrock-27,0
cj029,cp029,g33-kholerr-0,0
cj030,cp030,g31-cummins-500,0
