id_cuve_principale,id_site,capcite
cp001,BEPANDA INTERNATIONAL,40000
cp002,BEPANDA NATIONAL,5000
cp003,CT AKWA CENTRE,5000
cp004,CT BONABERI,5000
cp005,CT BASSA,5000
cp006,CT AKWA NORD,5000
cp007,POP BONANJO,1000
cp008,LOGBESSOU CRTV,1000
cp009,BEPANDA PETIT MARCHE,1000
cp010,PK 21,1000
cp011,LAQUINTINI,1000
cp012,LYCEE PALMIER,800
cp013,CAMP DES OFFICIERS,1000
cp014,MALANGUE,1000
cp015,YASSA VILLAGE,1000
cp016,NEWBEL MAGASIN,1000
cp017,NDOCKPASSI,0
cp018,BONALOKA,1000
cp019,LOGPOM SODICOMBO,1000
cp020,BONAMOUSSADI VILLAGE,1000
cp021,JAPOMA STADE,3000
cp022,E.P. NEWBELL BAMILEKE,800
cp023,NDOGBONG SCAMTROPIC,400
cp024,MABANDA,400
cp025,NDOKOTI POSTE,1000
cp026,BEPANDA LYCEE,800
cp027,BONENDALE,1000
cp028,AC AKWA NORD,300
cp029,BTS MBOPI GENDARMERIE,0
cp030,DATA CENTER,5000
