id_groupe,marque_groupe,puissance_groupe
g1-sdmo-830,SDMO,830
g2-sdmo-650,SDMO,650
g3-deutz-450,DEUTZ,450
g4-aksa-493,AKSA,493
g5-leroysommer-110,LEROY SOMMER,110
g6-deutz-185,DEUTZ,185
g7-aksa-220,AKSA,220
g8-deutz-350,DEUTZ,350
g9-aksa-110,AKSA,110
g10-sdmo-33,SDMO,33
g11-lionrock-18,LIONROCK,18
g12-lionrock-18,LIONROCK,18
g13-lionrock-18,LIONROCK,18
g14-huawei-23,HUAWEI,23
g15-lionrock-18,LIONROCK,18
g16-huawei-23,HUAWEI,23
g17-lionrock-18,LIONROCK,18
g18-onisvisa-22,ONIS VISA,22
g19-sdmo-22,SDMO,22
g20-lionrock-18,LIONROCK,18
g21-lionrock-18,LIONROCK,18
g22-lionrock-18,LIONROCK,18
g23-perkins-60,PERKINS,60
g24-huawei-23,HUAWEI,23
g25-listerpetter-12.5,LISTER PETTER,12.5
g26-listerpetter-12.5,LISTER PETTER,12.5
g27-noname-22,no name,22
g28-huawei-23,HUAWEI,23
g29-lionrock-18,LIONROCK,18
g30-lionrock-27,LIONROCK,27
g31-cummins-500,CUMMINS,500
g32-cummins-500,CUMMINS,500
g33-kholerr-0,KHOLERR,0
