id_groupe;marque_groupe;puissance_groupe;compteur_horaire_groupe;
G1-SDMO-830;SDMO;830;1877;
G2-SDMO-650;SDMO;650;1014;
G3-DEUTZ-450;DEUTZ;450;7162;
G4-AKSA-493;AKSA;493;1283;
G5-LEROY SOMMER-110;LEROY SOMMER;110;1185;
G6-DEUTZ-185;DEUTZ;185;8982;
G7-AKSA-220;AKSA;220;6725;
G8-DEUTZ-350;DEUTZ;350;5336;
G9-AKSA-110;AKSA;110;4059;
G10-SDMO-33;SDMO;33;1954;
G11-LIONROCK-18;LIONROCK;18;1644;
G12-LIONROCK-18;LIONROCK;18;1974;
G13-LIONROCK-18;LIONROCK;18;19;
G14-HUAWEI-23;HUAWEI;23;1164;
G15-LIONROCK-18;LIONROCK;18;73;
G16-HUAWEI-23;HUAWEI;23;1626;
G17-LIONROCK-18;LIONROCK;18;896;
G18-ONIS VISA-22;ONIS VISA;22;0;
G19-SDMO-22;SDMO;22;663;
G20-LIONROCK-18;LIONROCK;18;2139;
G21-LIONROCK-18;LIONROCK;18;2139;
G22-LIONROCK-18;LIONROCK;18;1706;
G23-PERKINS-60;PERKINS;60;5101;
G24-HUAWEI-23;HUAWEI;23;801;
G25-LISTER PETTER-12.5;LISTER PETTER;12.5;0;
G26-LISTER PETTER-12.5;LISTER PETTER;12.5;0;
G27-no name-22;no name;22;0;
G28-HUAWEI-23;HUAWEI;23;1231;
G29-LIONROCK-18;LIONROCK;18;4211;
G30-LIONROCK-27;LIONROCK;27;745;
G31-CUMMINS-500;CUMMINS;500;357;
G32-CUMMINS-500;CUMMINS;500;0;
G33-KHOLERR-0;KHOLERR;0;601;
