cuve_journaliere,groupe
CJ001,G1-SDMO-830
CJ002,G2-SDMO-650
CJ003,G3-DEUTZ-450
CJ004,G4-AKSA-493
CJ005,G5-LEROY SOMMER-110
CJ006,G6-DEUTZ-185
CJ007,G7-AKSA-220
CJ008,G8-DEUTZ-350
CJ009,G9-AKSA-110
CJ010,G10-SDMO-33
CJ011,G11-LIONROCK-18
CJ012,G12-LIONROCK-18
CJ013,G13-LIONROCK-18
CJ014,G14-HUAWEI-23
CJ015,G15-LIONROCK-18
CJ016,G16-HUAWEI-23
CJ017,G17-LIONROCK-18
CJ018,G18-ONIS VISA-22
CJ019,G19-SDMO-22
CJ020,G20-LIONROCK-18
CJ021,G21-LIONROCK-18
CJ022,G22-LIONROCK-18
CJ023,G23-PERKINS-60
CJ024,G24-HUAWEI-23
CJ025,G25-LISTER PETTER-12.5
CJ026,G26-LISTER PETTER-12.5
CJ027,G27-no name-22
CJ028,G28-HUAWEI-23
CJ029,G29-LIONROCK-18
CJ030,G30-LIONROCK-27
CJ031,G31-CUMMINS-500
CJ032,G32-CUMMINS-500
CJ033,G33-KHOLERR-0
