identifiant,cuve_principale,capacite
CJ001,CP001,1000
CJ002,CP002,1000
CJ003,CP002,1000
CJ004,CP003,588
CJ005,CP004,1000
CJ006,CP004,950
CJ007,CP005,1000
CJ008,CP006,1000
CJ009,CP007,240
CJ010,CP008,0
CJ011,CP009,0
CJ012,CP010,0
CJ013,CP011,0
CJ014,CP012,0
CJ015,CP013,0
CJ016,CP014,0
CJ017,CP015,0
CJ018,CP016,0
CJ019,CP017,0
CJ020,CP018,0
CJ021,CP019,0
CJ022,CP020,0
CJ023,CP021,0
CJ024,CP022,0
CJ025,CP023,0
CJ026,CP024,0
CJ027,CP025,0
CJ028,CP026,0
CJ029,CP027,0
CJ030,CP028,0
CJ031,CP030,0
CJ032,CP030,0
CJ033,CP029,0
