identifiant,site,capacite
CP001,BEPANDA INTERNATIONAL,40000
CP002,BEPANDA NATIONAL,5000
CP003,CT AKWA CENTRE,5000
CP004,CT BONABERI,5000
CP005,CT BASSA,5000
CP006,CT AKWA NORD,5000
CP007,POP BONANJO,1000
CP008,LOGBESSOU CRTV,1000
CP009,BEPANDA PETIT MARCHE,1000
CP010,PK 21,1000
CP011,LAQUINTINI,1000
CP012,LYCEE PALMIER,800
CP013,CAMP DES OFFICIERS,1000
CP014,MALANGUE,1000
CP015,YASSA VILLAGE,1000
CP016,NEWBEL MAGASIN,1000
CP017,NDOCKPASSI,0
CP018,BONALOKA,1000
CP019,LOGPOM SODICOMBO,1000
CP020,BONAMOUSSADI VILLAGE,1000
CP021,JAPOMA STADE,3000
CP022,E.P. NEWBELL BAMILEKE,800
CP023,NDOGBONG SCAMTROPIC,400
CP024,MABANDA,400
CP025,NDOKOTI POSTE,1000
CP026,BEPANDA LYCEE,800
CP027,BONENDALE,1000
CP028,AC AKWA NORD,300
CP029,BTS MBOPI GENDARMERIE,0
CP030,DATA CENTER,5000
CP031,NDOCKPASSI 2,1000
