identifiant,marque,puissance
G1-SDMO-830,SDMO,830
G2-SDMO-650,SDMO,650
G3-DEUTZ-450,DEUTZ,450
G4-AKSA-493,AKSA,493
G5-LEROY SOMMER-110,LEROY SOMMER,110
G6-DEUTZ-185,DEUTZ,185
G7-AKSA-220,AKSA,220
G8-DEUTZ-350,DEUTZ,350
G9-AKSA-110,AKSA,110
G10-SDMO-33,SDMO,33
G11-LIONROCK-18,LIONROCK,18
G12-LIONROCK-18,LIONROCK,18
G13-LIONROCK-18,LIONROCK,18
G14-HUAWEI-23,HUAWEI,23
G15-LIONROCK-18,LIONROCK,18
G16-HUAWEI-23,HUAWEI,23
G17-LIONROCK-18,LIONROCK,18
G18-ONIS VISA-22,ONIS VISA,22
G19-SDMO-22,SDMO,22
G20-LIONROCK-18,LIONROCK,18
G21-LIONROCK-18,LIONROCK,18
G22-LIONROCK-18,LIONROCK,18
G23-PERKINS-60,PERKINS,60
G24-HUAWEI-23,HUAWEI,23
G25-LISTER PETTER-12.5,LISTER PETTER,12.5
G26-LISTER PETTER-12.5,LISTER PETTER,12.5
G27-no name-22,no name,22
G28-HUAWEI-23,HUAWEI,23
G29-LIONROCK-18,LIONROCK,18
G30-LIONROCK-27,LIONROCK,27
G31-CUMMINS-500,CUMMINS,500
G32-CUMMINS-500,CUMMINS,500
G33-KHOLERR-0,KHOLERR,0
