id_rapport,cuve_journaliere,cuve_principale,groupe,quantite_cuve_principale,quantite_cuve_journaliere,depotage,compteur_horaire,etat_fonctionnement,observations
1,CJ001,CP001,G1-SDMO-830,8448.0,1000.0,0.0,1864.0,F,RAS
1,CJ002,CP002,G2-SDMO-650,2450.0,1000.0,0.0,989.0,F,RAS
1,CJ003,CP002,G3-DEUTZ-450,2450.0,1000.0,0.0,7162.0,F,RAS
1,CJ004,CP003,G4-AKSA-493,3045.0,392.0,0.0,1273.0,F,"La jauge de cette cuve est complètement dégradée, ce qui conduit à une lecture approximative des niveaux de carburant, il est impératif de la remplacer, pour une meilleure lecture des niveaux de carburant."
1,CJ005,CP004,G5-LEROY SOMMER-110,2161.0,1000.0,0.0,1163.0,F,RAS
1,CJ006,CP004,G6-DEUTZ-185,2161.0,1000.0,0.0,8982.0,HS,RAS
1,CJ007,CP005,G7-AKSA-220,2538.0,1000.0,0.0,6708.0,F,RAS
1,CJ008,CP006,G8-DEUTZ-350,3126.0,1000.0,0.0,5334.0,F,RAS
1,CJ009,CP007,G9-AKSA-110,630.0,192.0,0.0,4037.0,F,RAS
1,CJ010,CP008,G10-SDMO-33,2250.0,0.0,0.0,4038.0,F,RAS
1,CJ011,CP009,G11-LIONROCK-18,1000.0,0.0,0.0,1954.0,F,; Jauge sale ; Pupitre de lecture floue
1,CJ012,CP010,G12-LIONROCK-18,320.0,0.0,0.0,1644.0,P,EN ARRET
1,CJ013,CP011,G13-LIONROCK-18,320.0,0.0,0.0,1974.0,F,RAS
1,CJ014,CP012,G14-HUAWEI-23,530.0,0.0,0.0,19.0,F,RAS
1,CJ015,CP013,G15-LIONROCK-18,650.0,0.0,0.0,1164.0,P,Batterie HS ; Pas de chargeur batterie ;
1,CJ016,CP014,G16-HUAWEI-23,750.0,0.0,0.0,73.0,F,GES en défaut (en arrêt pour le moment
1,CJ017,CP015,G17-LIONROCK-18,600.0,0.0,0.0,1626.0,F,RAS
1,CJ018,CP016,G18-ONIS VISA-22,500.0,0.0,0.0,896.0,F,RAS
1,CJ019,CP017,G19-SDMO-22,710.0,0.0,0.0,0.0,P,Compteur horaire Illisible sur le contrôleur du GES
1,CJ020,CP018,G20-LIONROCK-18,900.0,0.0,0.0,663.0,F,"PAS D’INVERSSEUR de Sources, GES A L’ARRET"
1,CJ021,CP019,G21-LIONROCK-18,970.0,0.0,0.0,2139.0,P,RAS
1,CJ022,CP020,G22-LIONROCK-18,730.0,1000.0,0.0,1706.0,F,RAS
1,CJ023,CP021,G23-PERKINS-60,2450.0,0.0,0.0,5301.0,F,RAS
1,CJ024,CP022,G24-HUAWEI-23,800.0,0.0,0.0,801.0,F,GES En arrêt défaut de l’électrovanne d’arrêt
1,CJ025,CP023,G25-LISTER PETTER-12.5,0.0,0.0,0.0,0.0,HS,GE lister Peter Vétuste en arrêt
1,CJ026,CP024,G26-LISTER PETTER-12.5,0.0,0.0,0.0,0.0,HS,GE lister Peter Vétuste en arrêt
1,CJ027,CP025,G27-no name-22,0.0,0.0,0.0,0.0,F,GES DEPLOYE A NEW BELL MAGASIN
