nom,localisation,statut
BEPANDA INTERNATIONAL,Douala,actif
BEPANDA NATIONAL,Douala,actif
CT AKWA CENTRE,Douala,actif
CT BONABERI,Douala,actif
CT BASSA,Douala,actif
CT AKWA NORD,Douala,actif
POP BONANJO,Douala,actif
LOGBESSOU CRTV,Douala,actif
BEPANDA PETIT MARCHE,Douala,actif
PK 21,Douala,actif
LAQUINTINI,Douala,actif
LYCEE PALMIER,Douala,actif
CAMP DES OFFICIERS,Douala,actif
MALANGUE,Douala,actif
YASSA VILLAGE,Douala,actif
NEWBEL MAGASIN,Douala,actif
NDOCKPASSI,Douala,actif
BONALOKA,Douala,actif
LOGPOM SODICOMBO,Douala,actif
BONAMOUSSADI VILLAGE,Douala,actif
JAPOMA STADE,Douala,actif
E.P. NEWBELL BAMILEKE,Douala,actif
NDOGBONG SCAMTROPIC,Douala,actif
MABANDA,Douala,actif
NDOKOTI POSTE,Douala,actif
BEPANDA LYCEE,Douala,actif
BONENDALE,Douala,actif
AC AKWA NORD,Douala,actif
BTS MBOPI GENDARMERIE,Douala,actif
DATA CENTER,Douala,actif
